area,concentration,date,dupl,light_source,medium,species,temperature
205887.41614566068,58.5,2018-07-03,1,dark,PDA,A.oryzae,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,A.oryzae,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,A.oryzae,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,A.oryzae,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,A.oryzae,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,A.oryzae,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,A.oryzae,30
205887.41614566068,58.5,2018-07-03,1,dark,PDA,A.oryzae,30
205887.41614566068,58.5,2018-07-03,1,dark,PDA,A.oryzae,30
205887.41614566068,58.5,2018-07-03,1,light,PDA,P.ostreatus,25
205887.41614566068,58.5,2018-07-03,1,light,PDA,P.ostreatus,25
205887.41614566068,58.5,2018-07-03,1,light,PDA,P.ostreatus,25
205887.41614566068,58.5,2018-07-03,1,dark,PDA,P.ostreatus,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,P.ostreatus,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,P.ostreatus,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,P.ostreatus,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,P.ostreatus,28
205887.41614566068,58.5,2018-07-03,1,dark,PDA,P.ostreatus,28
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune,30
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune,30
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune,30
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune,30
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune,30
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune,30
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune,37
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune,37
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune,37
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune.DSC3,30
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune.DSC3,30
205887.41614566068,58.5,2018-07-03,1,light,PDA,S.commune.DSC3,30
34557.51918948773,58.5,2018-07-03,1,light,PDA,S.commune.DSC3,30
6283.185307179586,58.5,2018-07-03,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-03,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-03,1,light,PDA,S.commune.DSC3,37
15041.945625387929,58.5,2018-07-03,1,light,PDA,S.commune.DSC3,37
15041.945625387929,58.5,2018-07-03,1,light,PDA,S.commune.DSC3,37
15041.945625387929,58.5,2018-07-04,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,A.oryzae,30
15041.945625387929,58.5,2018-07-04,1,dark,PDA,A.oryzae,30
15041.945625387929,58.5,2018-07-04,1,dark,PDA,A.oryzae,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,P.ostreatus,25
15041.945625387929,58.5,2018-07-04,1,light,PDA,P.ostreatus,25
15041.945625387929,58.5,2018-07-04,1,light,PDA,P.ostreatus,25
15041.945625387929,58.5,2018-07-04,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-04,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune,37
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune,37
15041.945625387929,58.5,2018-07-04,1,light,PDA,S.commune,37
15041.945625387929,58.5,2018-07-05,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,A.oryzae,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,A.oryzae,30
15041.945625387929,58.5,2018-07-05,1,dark,PDA,A.oryzae,30
15041.945625387929,58.5,2018-07-05,1,dark,PDA,A.oryzae,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,P.ostreatus,25
15041.945625387929,58.5,2018-07-05,1,light,PDA,P.ostreatus,25
15041.945625387929,58.5,2018-07-05,1,light,PDA,P.ostreatus,25
15041.945625387929,58.5,2018-07-05,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-05,1,dark,PDA,P.ostreatus,28
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune,37
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune,37
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune,37
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune.DSC3,30
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune.DSC3,37
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune.DSC3,37
15041.945625387929,58.5,2018-07-05,1,light,PDA,S.commune.DSC3,37
